gameId,side,targetElo,result,accuracyPct,openingDepth,tacticalEff,endgameStrength,blunderRate,avgMoveTime,plies,meanCpLoss
Smoke 1,white,2700,win,92.72797305339988,12,0.05,0.5,0,30,20,7.55
Smoke 1,black,2680,loss,92.49644265435393,11,0.05,0.5,0,30,20,7.8
Smoke 2,white,2650,loss,93.44681100856549,13,0.16666666666666666,0.5,0,30,18,6.777777777777778
Smoke 2,black,2720,win,89.18614849020936,12,0.16666666666666666,0.5,0,30,18,11.444444444444445
Smoke 3,white,2450,draw,98.62492632477557,3,0.15384615384615385,0.5,0,30,13,1.3846153846153846
Smoke 3,black,2470,draw,94.61211852015946,2,0.15384615384615385,0.5,0,30,13,5.538461538461538
Smoke 4,white,2300,win,95.59974818331,7,0.25,0.5,0,30,20,4.5
Smoke 4,black,2280,loss,93.51952013367766,7,0.25,0.5,0,30,20,6.7
Smoke 5,white,2100,loss,71.21262969101117,7,0.1,0.5,0.05,30,20,33.95
Smoke 5,black,2050,win,75.6918267749906,3,0.1,0.5,0,30,20,27.85
Smoke 6,white,2000,win,87.37159116880345,3,0.16666666666666666,0.5,0,30,12,13.5
Smoke 6,black,1800,loss,83.04119854466481,2,0.16666666666666666,0.5,0,30,12,18.583333333333332
Smoke 7,white,1700,win,81.05842459701871,5,0.20512820512820512,0.5,0,30,20,21
Smoke 7,black,1750,loss,76.90251701888113,5,0.20512820512820512,0.5,0,30,19,26.263157894736842
Smoke 8,white,1600,loss,48.82757359575317,5,0.25806451612903225,0.5,0.125,30,16,71.6875
Smoke 8,black,1650,win,64.74804579302045,3,0.25806451612903225,0.5,0.06666666666666667,30,15,43.46666666666667
Smoke 9,white,1400,win,60.653065971263345,5,0.2857142857142857,0.5,0,30,11,50
Smoke 9,black,1350,loss,42.784256065939495,1,0.2857142857142857,0.5,0.1,30,10,84.9
Smoke 10,white,1200,win,28.624445630849777,6,0.2857142857142857,0.5,0.09090909090909091,30,11,125.0909090909091
Smoke 10,black,1100,loss,50.45945719335512,2,0.2857142857142857,0.5,0.1,30,10,68.4
Smoke 11,white,2600,win,9.228652468683222,3,0.35714285714285715,0.5,0.2857142857142857,30,7,238.28571428571428
Smoke 11,black,1400,loss,82.10733287441391,4,0.35714285714285715,0.5,0,30,7,19.714285714285715
Smoke 12,white,1050,loss,0.04856608583403892,2,0.25,0.5,0.5,30,2,763
Smoke 12,black,2750,win,100,1,0.25,0.5,0,30,2,0
